Term	fdr	es	nes
neutral amino acid transport (GO:0015804)	0.0	0.7812126829195686	2.222962828214606
nucleobase-containing compound biosynthetic process (GO:0034654)	0.0	-0.757347908405487	-2.2293267172136955
secondary alcohol biosynthetic process (GO:1902653)	0.0	0.6882766159823922	2.2204582585546113
cholesterol biosynthetic process (GO:0006695)	0.0	0.6962987518213667	2.2624290523090598
response to endoplasmic reticulum stress (GO:0034976)	0.0	0.5548922636670206	2.3048862840438487
cholesterol metabolic process (GO:0008203)	0.0	0.6222279294841425	2.3131810410276734
sterol biosynthetic process (GO:0016126)	0.0008012970464292944	0.669720863430279	2.177433385387991
tRNA aminoacylation for protein translation (GO:0006418)	0.0009348465541675102	0.6193859045241719	2.1101856223025064
tRNA aminoacylation (GO:0043039)	0.0009348465541675102	0.6419958169999125	2.17808028308288
liver development (GO:0001889)	0.0010198326045463748	0.699130323368382	2.1173668079163357
cellular response to glucose starvation (GO:0042149)	0.0011218158650010122	0.6212152408641807	2.123670331928864
amino acid transport (GO:0006865)	0.001246462072223347	0.6793516698344292	2.1358080877341212
regulation of lipid metabolic process (GO:0019216)	0.0014022698312512651	0.5509423619490144	2.1442016444232714
cellular response to peptide hormone stimulus (GO:0071375)	0.002157338201925023	0.5375333645273666	2.0904174026251385
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0070059)	0.0032051881857171776	0.6459374233417452	2.079493025419442
positive regulation of transcription from RNA polymerase II promoter in response to stress (GO:0036003)	0.004861202081671054	0.6798270212726858	2.055867048293618
response to glucocorticoid (GO:0051384)	0.005920694843060898	0.7366752997259021	2.0368342256380747
response to insulin (GO:0032868)	0.005959646782817878	0.5232099397143871	2.041532412168866
cellular response to starvation (GO:0009267)	0.006268971010299775	0.4787175696439049	2.0376578498816778
DNA replication initiation (GO:0006270)	0.006329854032040755	-0.6057626229898453	-2.1722843548787645
positive regulation of neuron apoptotic process (GO:0043525)	0.008856441039481676	0.7111334549447947	2.0157661036041765
cellular response to acid chemical (GO:0071229)	0.009535434852508606	0.6526210511474649	2.008925949420709
base-excision repair, gap-filling (GO:0006287)	0.00984643960539673	-0.6084887519544565	-2.130786237441272
hepaticobiliary system development (GO:0061008)	0.010416861603580829	0.7512512519098785	1.9912676999942476
positive regulation of response to endoplasmic reticulum stress (GO:1905898)	0.011218158650010124	0.6930559248191592	1.985248079090043
regulation of cellular catabolic process (GO:0031329)	0.012925269748924708	0.5258065258000398	1.9793228261039153
negative regulation of myeloid cell differentiation (GO:0045638)	0.0135552750354289	0.7408345252964142	1.9750024971064293
response to amino acid (GO:0043200)	0.014238432132705155	0.6359389307989962	1.9662434182966555
sterol metabolic process (GO:0016125)	0.014334313830568492	0.5639365221991777	1.9633902591932508
L-alpha-amino acid transmembrane transport (GO:1902475)	0.014583606245013158	0.664766898462111	1.969337213517161
