Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MT-CO1	351660.77764694573	-0.2241205596783085	0.2647616214725877	-0.8464994225060409	0.39727419588062063	0.8230704997718279
EEF1A1	291309.4133881366	0.3399472109072929	0.2224708159404423	1.528053059320375	0.12649936472787898	0.5627958689421803
MT-CO2	172706.94739110718	-0.24824221377522623	0.2882104929215896	-0.8613226092457461	0.3890603867132737	0.8181898448526232
MT-CO3	150114.41950926709	-0.061713119133828945	0.25623384321747766	-0.24084687002665034	0.8096738016106241	0.961457857457455
MT-RNR2	113097.54684232117	-0.41272402768575145	0.23150453271606375	-1.7827902669704971	0.07462045072899935	0.4432060593372078
ENO1	110644.28826222067	-0.3653560589994006	0.28510754737184224	-1.281467510654486	0.20002950457507485	0.6673933203505495
FTL	107795.14956634336	0.4384634098468683	0.26535464767786815	1.65236755294804	0.0984596458640671	0.5056010549270886
GAPDH	95114.05775083369	-0.6119872950573483	0.2884543280571473	-2.121608988082522	0.03387058698578184	0.30881898060697277
ACTB	94469.11325359273	0.10273220566539407	0.2740062535509954	0.3749265001584154	0.7077151299888109	0.9390772346182189
RPLP0	93070.19558497668	0.0490136001737299	0.27472852207132686	0.17840739579636608	0.8584030414770211	0.9732094142255058
MT-ND4	85501.20677242566	-0.086779251832974	0.23717581064742968	-0.3658857604242553	0.7144503222657292	0.9411470790561749
MT-ATP6	81164.87881725463	-0.1351947551547849	0.25873846791815136	-0.5225150950401084	0.6013117391792571	0.9111049573313091
RPL13A	77306.9908242644	0.21031356783382874	0.26560226590592323	0.7918364970136293	0.428456018444649	0.8384769481051481
ACTG1	70305.04050805935	-0.04387354397135965	0.2745824051581466	-0.15978279433487572	0.8730521780678415	0.9774126335669828
PKM	69038.05811853413	-0.301960285627503	0.3083114452610405	-0.9794001820848391	0.32738228718437046	0.7788017571795663
TMSB4X	64376.781743876345	0.3618615857115976	0.23306349047071379	1.552630937521586	0.12051133017360775	0.5506641300436007
MT-ND1	64668.40419095548	-0.014333163477251625	0.2805006965953768	-0.05109849512397918	0.9592470351451798	0.9956958948558733
IGFBP4	63651.208162420924	-0.42115862477184857	0.2914593304671182	-1.4449996302978634	0.14845798948183242	0.5976988431524571
HMGA1	63060.787045993035	-0.13324954938902647	0.2836520557845417	-0.46976408833166017	0.6385235741529194	0.9223633733121562
MT-ND2	60226.84180384315	-0.07201686361568074	0.26471435493247386	-0.27205499918601533	0.7855797303218331	0.9556067626843577
RPS2	58314.65171284941	0.07741461617707211	0.29524780248661087	0.26220217568116455	0.793165576107929	0.9562625110696322
RPS18	57224.87856816925	0.2795192379002622	0.24220588625982623	1.1540563370140726	0.2484770726849741	0.7143274651708835
RPL7A	50216.26206070796	0.13320352084359363	0.26081081098915826	0.5107285251650509	0.6095411637487893	0.9136341893557814
S100A6	48630.86303782379	0.15863558317108217	0.27709759372335496	0.5724899341040783	0.5669901033043381	0.8983924649163163
RPL8	47848.66282033704	0.10619260764058142	0.3006615879718757	0.3531964570429756	0.7239411638157184	0.9434835463492933
RPSA	46671.04647186387	-0.14995346090905168	0.2739037983041861	-0.5474676212504349	0.5840575093450555	0.9046963887067507
ANXA2	43252.16807905175	-0.031729452806459245	0.22304923600103163	-0.1422531337713817	0.8868800638005183	0.9799553627168566
TUBB	42648.535266072395	-0.09996386119664355	0.26571481117486767	-0.37620733580732557	0.7067627621663422	0.9390772346182189
FLNA	41340.218232206	0.29171694837675916	0.29730191404193723	0.9812144981199472	0.32648697610106714	0.7784773403409413
ITGA3	40802.02956421313	0.8414019859610736	0.2749388822052724	3.060323731631649	0.002210978636135763	0.06235966760523373
LDHA	39855.14154104788	-0.7895949046671309	0.2211511276868899	-3.5703860655192083	0.000356455474585227	0.016166304170894708
MT-CYB	39779.56351004268	0.090655724440985	0.24415371548306009	0.37130593839877446	0.7104096754138576	0.9402287275652169
CLIC1	39743.49910343174	0.038851049625028666	0.2730106194380127	0.14230600152112338	0.8868383062445251	0.9799553627168566
RPL15	39138.712104946804	0.10487858375630651	0.24292113309812427	0.43173923330063846	0.6659309491890575	0.9298063381603556
